slug	name	location	stream_url	report_url	area	lon	lat
cerritos	Cerritos	El Pescadero, La Paz, Baja California Sur, Mexico	https://cams.cdn-surfline.com/cdn-wc/mx-cerritos/playlist.m3u8	https://www.surfline.com/surf-report/cerritos/5842041f4e65fad6a7708bd5	La Paz, Baja California Sur	-110.1771504210631	23.32877869857464
chart-house	Chart House	Topanga Beach, Los Angeles County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-charthouse/playlist.m3u8	https://www.surfline.com/surf-report/chart-house/5842041f4e65fad6a7708930	Los Angeles County, California	-118.5753918391909	34.03944902292561
cherry-grove-pier-northside	Cherry Grove Pier Northside	North Myrtle Beach, Horry County, South Carolina, United States	https://cams.cdn-surfline.com/cdn-ec/ec-cherrypiernorth/playlist.m3u8	https://www.surfline.com/surf-report/cherry-grove-pier-northside/5842041f4e65fad6a7708a67	Horry County, South Carolina	-78.62813083741798	33.82924423172106
cherry-grove-pier-southside	Cherry Grove Pier Southside	North Myrtle Beach, Horry County, South Carolina, United States	https://cams.cdn-surfline.com/cdn-ec/ec-cherrypiersouth/playlist.m3u8	https://www.surfline.com/surf-report/cherry-grove-pier-southside/5ad777dbfc50f9001b5a104b	Horry County, South Carolina	-78.63441761116906	33.828129468640775
chun-s	Chun's	Pupukea, O‘ahu, Hawaii, United States	https://cams.cdn-surfline.com/cdn-wc/hi-chuns/playlist.m3u8	https://www.surfline.com/surf-report/chun-s/5842041f4e65fad6a7708899	O‘ahu, Hawaii	-158.083	21.625
church	Church	San Clemente, Orange County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-church/playlist.m3u8	https://www.surfline.com/surf-report/church/5842041f4e65fad6a770888b	Orange County, California	-117.5789400389241	33.379622288757
chuushajyomae	Chuushajyomae	Ōyama, Omaezaki-shi, Shizuoka, Japan	https://namiaru-upload.cdn-surfline.com/808.mp4	https://www.surfline.com/surf-report/chuushajyomae/584204204e65fad6a770979a	Omaezaki-shi, Shizuoka	138.2108	34.59901
cocoa-beach-pier	Cocoa Beach Pier	Cocoa Beach, Brevard County, Florida, United States	https://cams.cdn-surfline.com/cdn-ec/ec-cocoabeach/playlist.m3u8	https://www.surfline.com/surf-report/cocoa-beach-pier/5842041f4e65fad6a7708872	Brevard County, Florida	-80.60171127319	28.367707417566
cocoa-beach-pier-northside	Cocoa Beach Pier, Northside	Cocoa Beach, Brevard County, Florida, United States	https://cams.cdn-surfline.com/cdn-ec/ec-cocoabeachpierns/playlist.m3u8	https://www.surfline.com/surf-report/cocoa-beach-pier-northside/584204214e65fad6a7709d2b	Brevard County, Florida	-80.60147523880005	28.36824552355571
cocoa-beach-pier-southside	Cocoa Beach Pier, Southside	Cocoa Beach, Brevard County, Florida, United States	https://cams.cdn-surfline.com/cdn-ec/ec-cocoabeachpierss/playlist.m3u8	https://www.surfline.com/surf-report/cocoa-beach-pier-southside/584204214e65fad6a7709d29	Brevard County, Florida	-80.60147523880005	28.367046581917478
combesgate	Combesgate	Woolacombe, Devon, England, United Kingdom	https://cams.cdn-surfline.com/cdn-int/uk-combesgate/playlist.m3u8	https://www.surfline.com/surf-report/combesgate/584204204e65fad6a77090ab	Devon, England	-4.21430826187	51.1790739488
comporta	Comporta	Alcácer do Sal Municipality, Setúbal, Portugal	https://cams.cdn-surfline.com/cdn-int/pt-comporta/playlist.m3u8	https://www.surfline.com/surf-report/comporta/591b423c1907e50013cd93cc	Setúbal, Portugal	-8.78030776978	38.29512369
coney-beach	Coney Beach	Wales, United Kingdom	https://cams.cdn-surfline.com/cdn-int/wa-coney/playlist.m3u8	https://www.surfline.com/surf-report/coney-beach/5a2f01963795dd001a9e3cb5	United Kingdom, Wales	-3.6932945251464844	51.47368506015889
county-line	County Line	Malibu West, Los Angeles County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-countylinebeach/playlist.m3u8	https://www.surfline.com/surf-report/county-line/5842041f4e65fad6a7708813	Los Angeles County, California	-118.964	34.051
county-line-overview	County Line Overview	Malibu West, Los Angeles County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-countylineov/playlist.m3u8	https://www.surfline.com/surf-report/county-line-overview/584204214e65fad6a7709cfc	Los Angeles County, California	-118.96466016769409	34.05040156233963
cowells	Cowells	Santa Cruz, Santa Cruz County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-cowells/playlist.m3u8	https://www.surfline.com/surf-report/cowells/5842041f4e65fad6a7708806	Santa Cruz County, California	-122.0248853887161	36.95918781542251
cowells-overview	Cowells Overview	Santa Cruz, Santa Cruz County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-cowellsov/playlist.m3u8	https://www.surfline.com/surf-report/cowells-overview/584204214e65fad6a7709d20	Santa Cruz County, California	-122.02321529388428	36.960814372533086
croatan-jetty	Croatan Jetty	Virginia Beach, City of Virginia Beach, Virginia, United States	https://cams.cdn-surfline.com/cdn-ec/ec-croatanjetties/playlist.m3u8	https://www.surfline.com/surf-report/croatan-jetty/584204214e65fad6a7709ce9	City of Virginia Beach, Virginia	-75.96877455711365	36.82852360193767
